CodigoLoja;Produto;CategoriaProduto;Preco;Frete;DataCompra;Vendedor;LocalCompra;AvaliacaoCompra;TipoPagamento;QuantidadeParcelas;lat;lon
1;Cama box;moveis;441,88;23,82;2020-02-04;Felipe Santos;RJ;2.0;cartao_credito;5;-22.25;-42.66
1;Copo térmico;esporte e lazer;74,16;10,33;2020-04-26;Juliana Costa;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Blocos de montar;brinquedos;32,94;2,29;2021-05-13;Bianca Santos;SP;5.0;cartao_credito;2;-22.19;-48.79
1;Copo térmico;esporte e lazer;83,08;2,01;2022-05-22;Felipe Santos;MG;3.0;cartao_credito;1;-18.1;-44.38
1;Impressora;eletronicos;400,26;21,60;2021-08-16;Bianca Santos;SP;5.0;cartao_credito;8;-22.19;-48.79
1;Cômoda;moveis;407,18;22,21;2021-07-31;Camila Ribeiro;RS;5.0;cartao_credito;3;-30.17;-53.5
1;Dashboards com Power BI;livros;40,62;9,96;2020-08-17;Bruno Rodrigues;SP;5.0;cartao_credito;3;-22.19;-48.79
1;Cama box;moveis;436,23;20,81;2021-09-21;Mariana Ferreira;TO;5.0;cartao_credito;1;-9.46;-48.26
1;Fone de ouvido;eletronicos;91,05;2,43;2022-09-16;Rafael Costa;PR;5.0;cupom;1;-24.89;-51.55
1;Guarda roupas;moveis;684,48;34,03;2021-08-02;Mariana Ferreira;RS;5.0;cartao_credito;5;-30.17;-53.5
1;Dinossauro Rex;brinquedos;18,55;4,15;2021-04-27;Thiago Silva;RJ;4.0;boleto;1;-22.25;-42.66
1;Micro-ondas;eletrodomesticos;482,73;23,29;2021-02-19;Juliana Costa;SP;1.0;cartao_credito;5;-22.19;-48.79
1;Jogo de tabuleiro;brinquedos;320,35;14,64;2022-03-26;João Souza;SP;4.0;cartao_credito;12;-22.19;-48.79
1;Bicicleta;esporte e lazer;571,09;27,99;2021-12-17;Juliana Costa;RJ;5.0;cartao_credito;1;-22.25;-42.66
1;Guitarra;instrumentos musicais;905,39;45,79;2023-02-24;João Souza;AP;4.0;cartao_credito;4;1.41;-51.77
1;Jogo de panelas;utilidades domesticas;134,52;7,45;2021-07-19;Mariana Ferreira;MG;5.0;cartao_credito;1;-18.1;-44.38
1;Secadora de roupas;eletrodomesticos;986,28;53,20;2020-05-05;Thiago Silva;RS;5.0;boleto;1;-30.17;-53.5
1;Sofá retrátil;moveis;840,05;42,31;2022-12-26;Rafael Costa;GO;2.0;cartao_credito;10;-15.98;-49.86
1;Tablet ABXY;eletronicos;1.507,11;77,83;2023-03-08;Mariana Ferreira;PR;5.0;cartao_credito;1;-24.89;-51.55
1;Kit banquetas;moveis;425,25;22,93;2021-12-19;Lucas Oliveira;MG;5.0;boleto;1;-18.1;-44.38
1;Impressora;eletronicos;396,02;21,62;2022-08-06;Mariana Ferreira;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Bateria;instrumentos musicais;536,25;29,08;2020-12-30;Camila Ribeiro;RS;5.0;cartao_credito;1;-30.17;-53.5
1;Cubo mágico 8x8;brinquedos;22,86;0,00;2021-09-03;Camila Ribeiro;RJ;4.0;boleto;1;-22.25;-42.66
1;Jogo de copos;utilidades domesticas;51,55;3,27;2020-04-16;Rafael Costa;SP;1.0;cartao_credito;1;-22.19;-48.79
1;Tablet ABXY;eletronicos;807,70;44,66;2023-02-14;Larissa Alves;GO;4.0;cartao_credito;1;-15.98;-49.86
1;Lava louças;eletrodomesticos;1.496,89;79,99;2020-02-28;João Souza;SP;3.0;cartao_credito;2;-22.19;-48.79
1;Fone de ouvido;eletronicos;167,81;9,47;2021-12-10;Felipe Santos;SP;3.0;cartao_credito;1;-22.19;-48.79
1;Dinossauro Rex;brinquedos;24,39;1,83;2021-07-01;Bianca Santos;MG;4.0;cartao_credito;6;-18.1;-44.38
1;Corda de pular;esporte e lazer;17,11;0,00;2021-09-25;Bianca Santos;AL;3.0;cartao_credito;5;-9.62;-36.82
1;Cadeira de escritório;moveis;564,70;27,65;2022-05-23;Bianca Santos;SP;5.0;cupom;1;-22.19;-48.79
1;Impressora;eletronicos;420,24;19,96;2022-09-01;Beatriz Moraes;MG;5.0;cartao_credito;5;-18.1;-44.38
1;Modelagem preditiva;livros;98,74;2,84;2020-08-24;Felipe Santos;SP;5.0;cartao_debito;1;-22.19;-48.79
1;Cômoda;moveis;391,78;21,39;2021-08-17;Thiago Silva;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Celular Plus X42;eletronicos;3.367,25;179,98;2023-03-03;Larissa Alves;RJ;4.0;cartao_credito;1;-22.25;-42.66
1;Secadora de roupas;eletrodomesticos;1.600,38;85,50;2022-01-02;Camila Ribeiro;MG;4.0;cartao_credito;1;-18.1;-44.38
1;Modelagem preditiva;livros;70,68;1,35;2023-03-31;Thiago Silva;RS;3.0;cartao_credito;3;-30.17;-53.5
1;Kit banquetas;moveis;333,47;19,41;2020-09-09;Rafael Costa;PI;5.0;cartao_credito;7;-6.6;-42.28
1;Fogão;eletrodomesticos;907,92;45,93;2022-06-05;Beatriz Moraes;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Mochila;esporte e lazer;147,99;5,46;2022-02-01;João Souza;SP;4.0;boleto;1;-22.19;-48.79
1;Tablet ABXY;eletronicos;1.594,71;82,50;2023-03-04;Beatriz Moraes;MG;5.0;cartao_credito;10;-18.1;-44.38
1;Bola de basquete;esporte e lazer;60,08;9,44;2021-01-28;Isabella Pereira;PE;4.0;cupom;1;-8.38;-37.86
1;Cômoda;moveis;378,87;21,83;2022-07-17;Rafael Costa;RS;3.0;cartao_credito;1;-30.17;-53.5
1;Guarda roupas;moveis;653,87;32,40;2021-09-06;Camila Ribeiro;SP;5.0;cartao_credito;3;-22.19;-48.79
1;Headset;eletronicos;191,40;10,48;2020-05-01;Bianca Santos;SP;1.0;cartao_credito;1;-22.19;-48.79
1;Fone de ouvido;eletronicos;185,52;10,16;2022-10-28;Rafael Costa;AM;2.0;boleto;1;-3.47;-65.1
1;Carrinho controle remoto;brinquedos;112,75;6,53;2021-11-02;Pedro Gomes;RJ;5.0;cartao_credito;1;-22.25;-42.66
1;Bateria;instrumentos musicais;535,83;26,12;2023-03-01;Felipe Santos;MG;5.0;cartao_credito;8;-18.1;-44.38
1;Celular Plus X42;eletronicos;2.896,52;151,82;2022-09-11;Lucas Oliveira;SP;5.0;boleto;1;-22.19;-48.79
1;Poltrona;moveis;395,14;18,62;2021-01-23;Mariana Ferreira;BA;4.0;cartao_credito;4;-13.29;-41.71
1;Cadeira de escritório;moveis;491,60;26,46;2020-12-10;Juliana Costa;SP;1.0;cartao_credito;8;-22.19;-48.79
1;Jogo de tabuleiro;brinquedos;174,39;6,87;2021-10-02;Camila Ribeiro;MG;5.0;cartao_credito;1;-18.1;-44.38
1;Celular Plus X42;eletronicos;1.861,96;99,67;2020-04-23;Bianca Santos;MG;5.0;cartao_credito;9;-18.1;-44.38
1;Bola de basquete;esporte e lazer;56,18;9,23;2022-10-27;Lucas Oliveira;DF;5.0;cartao_credito;2;-15.83;-47.86
1;Boneca bebê;brinquedos;59,69;3,46;2020-12-20;Larissa Alves;RN;5.0;cartao_credito;10;-5.81;-36.59
1;Jogo de copos;utilidades domesticas;47,03;3,04;2020-07-23;Bruno Rodrigues;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Cadeira de escritório;moveis;593,11;32,11;2022-05-05;Isabella Pereira;MG;5.0;boleto;1;-18.1;-44.38
1;Cadeira de escritório;moveis;549,97;26,87;2021-07-29;Felipe Santos;SP;1.0;cartao_credito;7;-22.19;-48.79
1;Copo térmico;esporte e lazer;79,73;5,64;2020-12-30;Juliana Costa;SP;5.0;cartao_credito;3;-22.19;-48.79
1;Boneca bebê;brinquedos;55,96;0,00;2021-01-22;Thiago Silva;RS;2.0;cartao_credito;7;-30.17;-53.5
1;Impressora;eletronicos;384,36;18,05;2020-05-16;Rafael Costa;SP;5.0;boleto;1;-22.19;-48.79
1;Violão;instrumentos musicais;579,50;31,39;2020-06-28;Rafael Costa;SP;5.0;cartao_credito;5;-22.19;-48.79
1;Kit banquetas;moveis;327,50;15,02;2021-09-24;Lucas Oliveira;AM;3.0;cartao_credito;5;-3.47;-65.1
1;Modelagem preditiva;livros;71,75;1,40;2023-03-20;Isabella Pereira;RJ;1.0;cartao_credito;10;-22.25;-42.66
1;Micro-ondas;eletrodomesticos;963,53;48,89;2021-09-30;Bruno Rodrigues;GO;5.0;boleto;1;-15.98;-49.86
1;Panela de pressão;utilidades domesticas;104,39;6,09;2022-09-27;Mariana Ferreira;PR;5.0;cartao_credito;10;-24.89;-51.55
1;Mesa de jantar;moveis;372,39;20,36;2022-05-03;Isabella Pereira;SP;2.0;cartao_credito;6;-22.19;-48.79
1;Bicicleta;esporte e lazer;633,45;31,31;2020-12-13;João Souza;MG;5.0;cartao_credito;4;-18.1;-44.38
1;Panela de pressão;utilidades domesticas;96,77;2,74;2022-02-10;Camila Ribeiro;MG;5.0;cartao_credito;1;-18.1;-44.38
1;Iniciando em programação;livros;65,86;4,45;2020-04-01;Rafael Costa;SP;5.0;cartao_credito;4;-22.19;-48.79
1;Corda de pular;esporte e lazer;30,41;9,70;2020-10-20;Mariana Ferreira;MG;5.0;cartao_debito;1;-18.1;-44.38
1;Boneca bebê;brinquedos;72,82;1,46;2022-01-27;Pedro Gomes;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Dashboards com Power BI;livros;44,68;0,00;2021-07-29;Larissa Alves;SP;5.0;cupom;1;-22.19;-48.79
1;Celular ABXY;eletronicos;935,91;47,42;2020-01-11;João Souza;SP;5.0;boleto;1;-22.19;-48.79
1;Secadora de roupas;eletrodomesticos;1.918,54;103,04;2020-02-06;Lucas Oliveira;RJ;1.0;cartao_credito;1;-22.25;-42.66
1;Headset;eletronicos;73,75;5,33;2021-07-04;Larissa Alves;SP;1.0;cartao_credito;4;-22.19;-48.79
1;Boneca bebê;brinquedos;71,00;4,07;2020-12-28;Juliana Costa;PA;5.0;cartao_credito;8;-3.79;-52.48
1;Poltrona;moveis;296,72;16,49;2020-02-14;Beatriz Moraes;SP;3.0;boleto;1;-22.19;-48.79
1;Bicicleta;esporte e lazer;714,47;38,93;2021-10-11;Lucas Oliveira;SP;3.0;cartao_credito;1;-22.19;-48.79
1;Smartwatch;eletronicos;229,77;12,52;2022-02-11;Isabella Pereira;SP;5.0;cartao_credito;8;-22.19;-48.79
1;Ciência de dados com python;livros;52,97;3,10;2022-05-18;Larissa Alves;SP;5.0;cartao_credito;10;-22.19;-48.79
1;Copo térmico;esporte e lazer;89,19;7,91;2022-07-06;Larissa Alves;SP;4.0;cartao_credito;1;-22.19;-48.79
1;TV Led UHD 4K;eletronicos;3.682,05;196,35;2020-12-15;Rafael Costa;SP;5.0;boleto;1;-22.19;-48.79
1;Micro-ondas;eletrodomesticos;741,11;39,75;2021-12-04;Larissa Alves;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Geladeira;eletrodomesticos;2.913,45;152,72;2020-02-09;Larissa Alves;SP;1.0;cupom;1;-22.19;-48.79
1;Dashboards com Power BI;livros;59,20;0,00;2020-04-15;Bruno Rodrigues;DF;1.0;cartao_credito;4;-15.83;-47.86
1;Blocos de montar;brinquedos;41,25;0,00;2020-03-05;João Souza;TO;2.0;boleto;1;-9.46;-48.26
1;TV Led UHD 4K;eletronicos;3.766,19;200,83;2021-09-07;Mariana Ferreira;PB;5.0;cartao_credito;1;-7.28;-36.72
1;Lava louças;eletrodomesticos;2.037,22;109,36;2020-08-04;Felipe Santos;SP;2.0;cartao_credito;2;-22.19;-48.79
1;Mesa de centro;moveis;243,75;13,51;2022-11-25;Mariana Ferreira;RS;5.0;boleto;1;-30.17;-53.5
1;Micro-ondas;eletrodomesticos;952,33;51,24;2020-07-27;Pedro Gomes;SP;5.0;cartao_credito;5;-22.19;-48.79
1;Panela de pressão;utilidades domesticas;111,13;3,50;2020-01-17;Beatriz Moraes;RJ;1.0;cartao_credito;10;-22.25;-42.66
1;Copo térmico;esporte e lazer;46,67;3,42;2020-09-12;Pedro Gomes;RJ;5.0;cartao_credito;2;-22.25;-42.66
1;Cama king;moveis;926,84;49,64;2022-01-23;Thiago Silva;SP;4.0;cartao_credito;5;-22.19;-48.79
1;Modelagem preditiva;livros;92,99;14,05;2022-04-15;Beatriz Moraes;SP;5.0;cartao_credito;2;-22.19;-48.79
1;Lavadora de roupas;eletrodomesticos;1.809,14;99,50;2020-01-02;Mariana Ferreira;PB;3.0;cartao_credito;2;-7.28;-36.72
1;Celular Plus X42;eletronicos;3.135,25;173,18;2020-02-17;Camila Ribeiro;PE;1.0;cartao_credito;1;-8.38;-37.86
1;Violão;instrumentos musicais;272,86;12,11;2020-05-28;Thiago Silva;PR;5.0;cartao_credito;5;-24.89;-51.55
1;TV Led UHD 4K;eletronicos;3.880,00;204,18;2021-07-02;Juliana Costa;MG;5.0;boleto;1;-18.1;-44.38
1;Panela de pressão;utilidades domesticas;83,20;2,01;2020-04-01;Larissa Alves;MG;1.0;cartao_credito;2;-18.1;-44.38
1;Secadora de roupas;eletrodomesticos;1.454,34;75,02;2022-09-01;Bruno Rodrigues;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Poltrona;moveis;349,98;19,17;2022-09-06;Lucas Oliveira;RJ;5.0;boleto;1;-22.25;-42.66
1;Modelagem preditiva;livros;74,15;5,35;2020-12-26;Larissa Alves;DF;5.0;cartao_credito;1;-15.83;-47.86
1;TV Led UHD 4K;eletronicos;2.569,93;144,64;2022-11-17;Camila Ribeiro;SP;5.0;cartao_credito;4;-22.19;-48.79
1;Dashboards com Power BI;livros;40,71;0,00;2020-04-06;Larissa Alves;PE;5.0;cartao_credito;8;-8.38;-37.86
1;Guarda roupas;moveis;677,41;33,65;2023-02-03;Camila Ribeiro;RJ;5.0;cartao_credito;3;-22.25;-42.66
1;Cadeira de escritório;moveis;671,64;36,05;2020-01-30;Larissa Alves;RJ;5.0;cartao_credito;3;-22.25;-42.66
1;Headset;eletronicos;215,52;12,00;2022-10-21;Felipe Santos;SP;1.0;cartao_credito;1;-22.19;-48.79
1;TV Led UHD 4K;eletronicos;3.830,38;201,54;2020-02-05;Lucas Oliveira;SP;5.0;boleto;1;-22.19;-48.79
1;Jogo de copos;utilidades domesticas;45,29;2,69;2021-10-26;Juliana Costa;SC;1.0;cartao_credito;2;-27.45;-50.95
1;Bateria;instrumentos musicais;903,48;45,69;2022-07-24;Larissa Alves;SP;5.0;cartao_credito;6;-22.19;-48.79
1;Jogo de tabuleiro;brinquedos;201,06;10,99;2022-02-24;Thiago Silva;PR;5.0;cartao_credito;2;-24.89;-51.55
1;Corda de pular;esporte e lazer;30,16;0,00;2021-09-09;Bruno Rodrigues;ES;5.0;boleto;1;-19.19;-40.34
1;Headset;eletronicos;201,76;11,63;2021-06-14;Pedro Gomes;RJ;5.0;cartao_credito;5;-22.25;-42.66
1;Tablet ABXY;eletronicos;1.204,87;61,74;2021-10-30;Camila Ribeiro;RS;4.0;boleto;1;-30.17;-53.5
1;Xadrez de madeira;brinquedos;40,40;0,00;2021-04-13;Rafael Costa;PE;5.0;cartao_credito;6;-8.38;-37.86
1;Guarda roupas;moveis;602,71;32,38;2020-02-12;Rafael Costa;SC;4.0;cartao_credito;4;-27.45;-50.95
1;Cubo mágico 8x8;brinquedos;24,78;1,61;2021-05-12;Beatriz Moraes;SE;5.0;boleto;1;-10.57;-37.45
1;Dinossauro Rex;brinquedos;18,17;1,91;2022-01-11;Camila Ribeiro;RJ;5.0;boleto;1;-22.25;-42.66
1;Jogo de copos;utilidades domesticas;47,66;0,00;2022-07-08;Pedro Gomes;SC;5.0;boleto;1;-27.45;-50.95
1;Guarda roupas;moveis;601,96;29,64;2020-05-30;Larissa Alves;SP;3.0;cartao_credito;3;-22.19;-48.79
1;Jogo de copos;utilidades domesticas;37,49;0,00;2022-10-04;Juliana Costa;RS;1.0;cartao_credito;10;-30.17;-53.5
1;Bateria;instrumentos musicais;728,81;41,97;2021-12-15;Felipe Santos;RJ;5.0;cartao_credito;2;-22.25;-42.66
1;Carrinho controle remoto;brinquedos;76,12;1,64;2023-02-13;João Souza;PR;3.0;cartao_credito;2;-24.89;-51.55
1;Boneca bebê;brinquedos;57,26;0,00;2021-02-03;Bianca Santos;PR;5.0;boleto;1;-24.89;-51.55
1;Sofá retrátil;moveis;950,49;48,20;2022-11-10;Camila Ribeiro;PR;1.0;cartao_credito;5;-24.89;-51.55
1;Blocos de montar;brinquedos;36,00;2,44;2023-01-21;Thiago Silva;SP;5.0;cartao_credito;10;-22.19;-48.79
1;Cômoda;moveis;427,94;20,37;2021-10-24;Lucas Oliveira;SP;2.0;cartao_credito;10;-22.19;-48.79
1;Cama king;moveis;877,54;53,11;2022-03-22;Juliana Costa;BA;1.0;cartao_credito;2;-13.29;-41.71
1;Geladeira;eletrodomesticos;3.282,01;181,00;2022-09-29;Juliana Costa;RJ;5.0;cartao_credito;6;-22.25;-42.66
1;Copo térmico;esporte e lazer;39,36;9,90;2020-12-18;Pedro Gomes;SP;5.0;cartao_credito;5;-22.19;-48.79
1;Faqueiro;utilidades domesticas;70,80;1,35;2022-03-26;João Souza;SP;2.0;cartao_credito;5;-22.19;-48.79
1;Corda de pular;esporte e lazer;11,47;1,14;2022-08-17;Beatriz Moraes;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Cama box;moveis;786,92;39,49;2022-01-18;Larissa Alves;SP;5.0;boleto;1;-22.19;-48.79
1;Cadeira de escritório;moveis;686,09;39,70;2021-09-15;Rafael Costa;DF;5.0;cartao_credito;10;-15.83;-47.86
1;Mesa de centro;moveis;277,62;15,07;2022-05-01;Lucas Oliveira;SC;5.0;cartao_credito;1;-27.45;-50.95
1;Corda de pular;esporte e lazer;13,39;1,24;2020-11-06;Mariana Ferreira;RJ;1.0;cartao_credito;1;-22.25;-42.66
1;Jogo de panelas;utilidades domesticas;144,15;8,21;2021-02-08;Thiago Silva;MG;1.0;cartao_credito;3;-18.1;-44.38
1;Modelagem preditiva;livros;85,44;4,83;2020-06-22;Bianca Santos;MG;5.0;cartao_credito;3;-18.1;-44.38
1;Copo térmico;esporte e lazer;86,66;4,90;2021-03-09;Mariana Ferreira;SP;1.0;cupom;1;-22.19;-48.79
1;Mesa de centro;moveis;210,29;11,48;2021-07-06;Felipe Santos;CE;5.0;cartao_credito;12;-5.2;-39.53
1;Cômoda;moveis;362,56;19,84;2022-11-24;Mariana Ferreira;SP;3.0;boleto;1;-22.19;-48.79
1;Smart TV;eletronicos;2.394,68;128,91;2020-03-18;Pedro Gomes;PR;4.0;cartao_credito;4;-24.89;-51.55
1;Panela de pressão;utilidades domesticas;94,58;2,62;2021-04-01;Juliana Costa;DF;5.0;cartao_credito;10;-15.83;-47.86
1;Guarda roupas;moveis;600,90;32,88;2021-08-29;Bianca Santos;RJ;1.0;cartao_credito;2;-22.25;-42.66
1;Blocos de montar;brinquedos;43,10;0,00;2020-03-28;Lucas Oliveira;SP;5.0;boleto;1;-22.19;-48.79
1;Bola de basquete;esporte e lazer;79,48;1,82;2022-11-12;Lucas Oliveira;SP;4.0;cartao_debito;1;-22.19;-48.79
1;Jogo de copos;utilidades domesticas;54,41;3,43;2022-02-06;Juliana Costa;SC;5.0;boleto;1;-27.45;-50.95
1;Faqueiro;utilidades domesticas;72,85;5,28;2020-02-26;Mariana Ferreira;SP;5.0;cartao_debito;1;-22.19;-48.79
1;Lavadora de roupas;eletrodomesticos;2.094,53;109,11;2022-06-16;Pedro Gomes;RJ;5.0;cartao_credito;3;-22.25;-42.66
1;Celular Plus X42;eletronicos;2.509,24;133,89;2021-04-22;Pedro Gomes;SP;5.0;cartao_credito;2;-22.19;-48.79
1;Lavadora de roupas;eletrodomesticos;1.742,66;93,08;2021-12-04;Juliana Costa;MG;5.0;cartao_credito;6;-18.1;-44.38
1;Jogo de tabuleiro;brinquedos;217,87;9,19;2022-06-06;Larissa Alves;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Boneca bebê;brinquedos;62,33;3,85;2020-11-05;Felipe Santos;MT;5.0;cartao_credito;1;-12.64;-55.42
1;Kit banquetas;moveis;362,70;16,90;2023-02-14;Camila Ribeiro;SC;4.0;cartao_credito;10;-27.45;-50.95
1;Mesa de jantar;moveis;289,40;12,99;2021-09-14;Pedro Gomes;ES;1.0;cupom;1;-19.19;-40.34
1;Bola de vôlei;esporte e lazer;65,04;1,05;2022-03-03;Larissa Alves;SP;5.0;boleto;1;-22.19;-48.79
1;Faqueiro;utilidades domesticas;46,20;5,62;2020-10-26;Bruno Rodrigues;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Dashboards com Power BI;livros;58,62;3,65;2021-04-08;Larissa Alves;GO;3.0;cartao_credito;1;-15.98;-49.86
1;Jogo de copos;utilidades domesticas;53,09;3,36;2022-04-21;Camila Ribeiro;SP;1.0;cartao_credito;1;-22.19;-48.79
1;Sofá retrátil;moveis;862,54;46,45;2020-07-27;Mariana Ferreira;MG;5.0;cartao_credito;1;-18.1;-44.38
1;Mochila;esporte e lazer;142,64;10,76;2022-04-26;Thiago Silva;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Cômoda;moveis;359,51;26,70;2021-01-08;Bruno Rodrigues;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Jogo de tabuleiro;brinquedos;257,89;11,32;2022-11-01;João Souza;RS;5.0;boleto;1;-30.17;-53.5
1;Cômoda;moveis;384,97;20,78;2021-07-27;Isabella Pereira;SP;4.0;cartao_credito;6;-22.19;-48.79
1;Blocos de montar;brinquedos;53,58;0,00;2023-01-02;Rafael Costa;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Poltrona;moveis;269,55;14,64;2020-06-02;João Souza;SP;5.0;cartao_credito;10;-22.19;-48.79
1;Impressora;eletronicos;482,79;25,99;2020-05-26;João Souza;RJ;1.0;cartao_credito;1;-22.25;-42.66
1;Xadrez de madeira;brinquedos;49,96;5,82;2023-03-20;Thiago Silva;PE;5.0;cartao_credito;6;-8.38;-37.86
1;Boneca bebê;brinquedos;67,89;4,15;2022-10-04;Rafael Costa;SP;5.0;cartao_credito;2;-22.19;-48.79
1;Guitarra;instrumentos musicais;1.121,40;62,87;2022-05-10;Lucas Oliveira;SP;1.0;cartao_credito;4;-22.19;-48.79
1;Kit banquetas;moveis;447,98;21,44;2021-03-13;Larissa Alves;RJ;5.0;cartao_credito;1;-22.25;-42.66
1;Cubo mágico 8x8;brinquedos;27,27;1,98;2022-02-27;Larissa Alves;MG;5.0;boleto;1;-18.1;-44.38
1;Bateria;instrumentos musicais;1.215,50;65,25;2022-09-13;Pedro Gomes;SP;5.0;cartao_credito;1;-22.19;-48.79
1;Jogo de copos;utilidades domesticas;43,14;2,83;2020-07-23;Felipe Santos;SP;4.0;cartao_credito;1;-22.19;-48.79
1;Guarda roupas;moveis;631,80;41,44;2023-01-26;Thiago Silva;SP;4.0;cartao_credito;3;-22.19;-48.79
1;Geladeira;eletrodomesticos;2.505,72;131,01;2022-05-14;Juliana Costa;SP;3.0;cartao_debito;1;-22.19;-48.79
1;Cubo mágico 8x8;brinquedos;15,58;0,00;2021-08-20;Juliana Costa;PR;5.0;cartao_credito;9;-24.89;-51.55
1;Pandeiro;instrumentos musicais;116,95;6,76;2022-03-07;Juliana Costa;RJ;1.0;cartao_credito;3;-22.25;-42.66
